,Port_IDs,Total_Quantity,PnL,Total_Fee,Total_Qty,First_Trade,Last_Trade,Unique_Assets,Total_Positions,Trading_Duration_Hours,Avg_Trades_per_Hour,ROI,Mean_Return,Std_Dev_Return,Sharpe_Ratio,Cumulative_Profit,Max_Cumulative_Profit,Drawdown,Max_Drawdown (%),Win_Positions,Win_Rate (%),Total_Buy_Positions,Total_Sell_Positions,Net_Positions
37,3943533600390906881,222606.062211,2361.42457205,-90.03164169,8830673.298,2024-04-22 21:29:14,2024-06-20 16:09:29,122,1759,1410.6708333333333,1.2469244833279676,9426.769961055807,0.010608087437491677,0.014700203401014373,0.7216286161564047,143464.21769884,143464.21769884,0.0,0.0,964,54.80386583285958,885,874,11
38,3944088772635000577,1069559.0582283,7581.4919834,-516.77836712,2449200.83,2024-05-31 00:04:13,2024-06-21 16:53:52,19,6063,520.8275,11.641090380212258,14107.501011280434,0.007088427632933676,0.014700203401014373,0.4821992893271495,151045.70968223998,151045.70968223998,0.0,0.0,2774,45.75292759360053,2809,3254,-445
39,3944239644144231424,956418.4076718,-1187.89097568,-249.27085293,14167953.292,2024-04-22 17:43:17,2024-06-21 13:45:04,19,858,1436.0297222222223,0.597480669600811,-80513.98884685565,-0.0012420201934127046,0.014700203401014373,-0.08449000054835977,149857.81870655998,151045.70968223998,1187.8909756799985,0.7864446982168547,227,26.456876456876454,443,415,28
40,3944658614777849089,99562.15156,2074.44997996,-34.71080578,146.519,2024-04-22 17:28:00,2024-06-18 04:29:23,6,45,1355.0230555555556,0.03320976703348426,4799.448168035356,0.020835728712731323,0.014700203401014373,1.417376899104238,151932.26868651996,151932.26868651996,0.0,0.0,20,44.44444444444444,23,22,1
41,3946087913459823360,73338.9359152,-40.66724167,-36.66945545,5570013.138,2024-06-17 08:37:04,2024-06-21 17:11:45,148,6085,104.57805555555555,58.186203287815324,-180339.09580177336,-0.0005545109315060493,0.014700203401014373,-0.037721310132877876,151891.60144484998,151932.26868651996,40.66724166998756,0.026766691514292985,1930,31.71733771569433,3246,2839,407
42,3949214983441029120,395907.6665871,1317.57755896,-197.95382648,3770672.014,2024-04-22 17:01:18,2024-06-21 14:48:17,96,4530,1437.7830555555556,3.1506839522807004,30048.14888465471,0.003327992029854092,0.014700203401014373,0.22639088311012398,153209.17900381,153209.17900381,0.0,0.0,1675,36.9757174392936,2218,2312,-94
43,3949329502284748801,51772.5354111,425.96505788999997,-25.84426696,497344.799,2024-04-22 17:29:28,2024-06-20 19:20:20,41,384,1417.8477777777778,0.27083302313443774,12154.17425728605,0.008227625989486953,0.014700203401014373,0.5596947038786697,153635.14406169998,153635.14406169998,0.0,0.0,72,18.75,163,221,-58
44,3951723256343550465,2623639.0295482,5260.02286389,-1281.5407654800001,11516766.087,2024-04-22 18:36:49,2024-06-14 16:54:02,21,3447,1270.2869444444445,2.7135601251948103,49878.85219205896,0.0020048576822688123,0.014700203401014373,0.13638298924016717,158895.16692558996,158895.16692558996,0.0,0.0,1215,35.24804177545692,1857,1590,267
45,3952087967771302912,169503.08411,1032.6052598600002,-84.75154173,1486083.742,2024-04-22 17:51:34,2024-06-18 21:41:00,2,172,1371.8238888888889,0.1253805254399759,16415.090131632787,0.006091955584654053,0.014700203401014373,0.4144130131038652,159927.77218544995,159927.77218544995,0.0,0.0,58,33.72093023255814,97,75,22
46,3953433416230728705,1205684.56546,4924.76177998,-341.37774279,74651.068,2024-04-24 13:25:11,2024-06-21 03:58:36,7,527,1382.5569444444445,0.38117778954252435,24482.089069999573,0.004084618747774278,0.014700203401014373,0.27786137622370743,164852.53396542996,164852.53396542996,0.0,0.0,110,20.872865275142317,284,243,41
47,3953764659057081857,1629660.03653,6048.86608919,-811.69953844,26173.01,2024-04-24 00:05:46,2024-06-21 08:50:36,2,583,1400.7472222222223,0.4162064295048873,26941.579008376208,0.003711734934649143,0.014700203401014373,0.25249548141578904,170901.40005461997,170901.40005461997,0.0,0.0,180,30.874785591766724,351,232,119
48,3956048468100538880,123238.17079999999,1373.56489,-61.61908537,2761.2309999999998,2024-04-28 06:46:50,2024-06-01 05:19:00,3,28,814.5361111111112,0.03437539431100865,8972.140427963326,0.011145612443640719,0.014700203401014373,0.758194437151232,172274.96494461998,172274.96494461998,0.0,0.0,20,71.42857142857143,6,22,-16
49,3956076827719377409,1626576.9243934,16790.01223802,-640.4672937,112234228.457,2024-04-24 15:23:47,2024-06-21 14:42:30,7,3916,1391.3119444444444,2.81460963203595,9687.764972023735,0.010322298310165384,0.014700203401014373,0.7021874479269521,189064.97718263997,189064.97718263997,0.0,0.0,2019,51.55771195097037,1648,2268,-620
50,3957509601040585217,985500.74339,3174.1803667200006,-462.67533381,1140025.068,2024-04-23 04:52:42,2024-06-21 08:49:51,3,1113,1419.9525,0.7838290365346727,31047.408449834085,0.003220880743124774,0.014700203401014373,0.2191045018399215,192239.15754935998,192239.15754935998,0.0,0.0,300,26.954177897574123,782,331,451
51,3960874214179953664,8387392.0153534,19567.47128569,-1959.55185082,7559805.938,2024-04-26 16:08:06,2024-06-21 12:14:46,14,2391,1340.111111111111,1.7841804162175607,42863.95463621931,0.00233296252874208,0.014700203401014373,0.15870273798940063,211806.62883504998,211806.62883504998,0.0,0.0,1233,51.568381430363864,1096,1295,-199
52,3962024093501274881,6383866.44543,9314.494060179999,-2807.69241408,590.172,2024-04-27 17:35:04,2024-06-21 16:31:55,3,1273,1318.9475,0.9651635110571118,68536.9103698439,0.0014590678141219477,0.014700203401014373,0.09925494051471874,221121.12289523,221121.12289523,0.0,0.0,337,26.472898664571876,697,576,121
53,3966142151544441601,1607232.58604,4883.80077594,-467.87752874,1836179.8599999999,2024-04-29 09:51:03,2024-06-21 16:12:59,9,1932,1278.3655555555556,1.5113047997920956,32909.46252267325,0.00303863972044831,0.014700203401014373,0.20670732489583318,226004.92367117,226004.92367117,0.0,0.0,1028,53.20910973084886,1239,693,546
